alachua	1
alafaya	1
alcoma	1
altamonte springs	1
alturas	0
amelia city	1
american beach	1
ankona	1
anna maria	0
apollo beach	1
apopka	0
ariel	0
aripeka	0
arredondo	1
asbury lake	1
astatula	0
astor	0
astor park	1
atlantic beach	1
atlantis	0
auburndale	1
avon park	1
azalea park	1
babson park	1
bakers mill	0
balm	0
barberville	1
bartow	1
basinger	1
bassville park	1
bay hill	0
bay lake	0
bay pines	0
bayonet point	0
bayshore gardens	1
beacon square	0
bee ridge	0
belle glade	0
belle isle	0
belleair	1
belleair beach	0
belleair bluffs	0
belleair shores	0
belleview	1
bereah	1
beverly beach	1
bithlo	1
blanton	1
bloomingdale	0
boca grande	0
boca raton	1
bokeelia	1
bonita springs	1
bostwick	1
boulevard gardens	0
boulogne	0
boynton beach	0
bradenton	1
bradenton beach	1
bradley junction	0
brandon	0
briny breezes	0
broadview park	1
brooker	0
brookridge	1
brooksville	1
browardale	1
bryceville	1
buckhead ridge	1
buenaventura lakes	1
bunnell	0
burnt store marina	1
butler beach	1
callahan	0
campanilla	0
campville	1
canal point	0
candelaria arenas	1
cape canaveral	1
cape coral	1
captiva	0
carrollwood	1
casselberry	1
cedar key	0
celebration	0
charlotte harbor	1
charlotte park	1
chassahowitzka	1
cheval	0
chiefland	1
chokoloskee	1
christmas	0
chuluota	1
citra	0
citrus hills	0
citrus park	0
citrus springs	0
clarcona	1
clearwater	0
clermont	1
clewiston	1
cloud lake	0
cocoa	0
cocoa beach	0
coconut	0
coconut creek	0
columbia	0
combee settlement	1
cooks hammock	0
cooper city	1
coral bay	0
coral springs	0
coto norte	0
crescent beach	1
crooked lake park	1
crows bluff	0
crystal river	0
cypress gardens	0
cypress lake	0
cypress quarters	0
dade city	1
dania beach	1
davie	1
daytona beach	1
daytona beach shores	0
de leon springs	1
de soto city	1
debary	0
deerfield beach	1
deland	0
delray beach	1
deltona	1
denaud	1
desoto lakes	1
doctor phillips	0
doctors inlet	0
dowling park	1
duette	1
dukes	0
dunedin	1
dunnellon	1
east lake	0
east lake weir	0
east naples	1
east palatka	1
eaton park	1
eau gallie	0
elfers	1
ellaville	1
ellenton	1
ellzey	1
estero	1
eustis	0
everglades city	1
fairview shores	1
fanning springs	1
favoretta	1
feather sound	0
fellsmere	1
fern crest village	0
fern park	0
fernandina beach	1
fish hawk	0
flagler beach	1
florahome	1
floral city	0
florida ridge	1
fort basinger	1
fort green	0
fort green springs	0
fort lauderdale	1
fort myers	1
fort myers beach	1
fort myers shores	1
fort ogden	1
fort pierce	1
fort white	1
frostproof	0
fruit cove	0
fruitland park	0
fruitville	1
fuller heights	0
fussels corner	1
gainesville	1
gateway	0
gibsonton	1
gifford	1
glen saint mary	1
golden gate	0
goldenrod	0
goodno	0
gotha	0
grant-valkaria	1
green cove springs	0
greenacres city	1
groveland	1
gulf gate estates	1
gulf hammock	1
gulf stream	0
gun club estates	1
hacienda village	1
haile	0
haines city	1
hallandale beach	1
harbor bluffs	0
harbour heights	0
hatchbend	1
heathrow	0
hernando beach	1
high springs	0
highland beach	1
highland city	1
hilden	1
hill 'n dale	1
hillsboro beach	1
hillsboro pines	1
hobe sound	1
holden heights	1
holder	0
holiday	0
holly hill	0
holmes beach	1
holopaw	1
homosassa	1
homosassa springs	1
horseshoe beach	0
howie in the hills	1
hunters creek	1
hypoluxo	0
immokalee	1
indialantic	1
indian harbour beach	0
indian river city	0
indian river estates	0
indian river shores	0
indian rocks beach	0
indian shores	0
indiantown	1
indrio	0
ingenio	0
inglis	0
intercession city	1
interlachen	1
iona	0
islamorada	1
island grove	0
istachatta	0
jacksonville	1
jacksonville beach	1
jan-phyl village	0
jasmine estates	0
jensen beach	1
june park	1
juno beach	1
juno ridge	1
jupiter	0
jupiter inlet beach colony	0
jupiter island	1
kathleen	0
kenneth city	1
key colony beach	0
keystone	0
keystone heights	0
kissimmee	1
labelle	0
lacoochee	1
lady lake	0
lake alfred	1
lake belvedere estates	1
lake buena vista	1
lake butler	1
lake clarke shores	1
lake harbor	1
lake hart	1
lake helen	1
lake kathryn	1
lake lindsey	1
lake magdalene	1
lake mary	1
lake monroe	1
lake panasoffkee	1
lake sarasota	1
lake wales	1
lake worth	1
lakeland	1
lakeland highlands	1
lakeside	1
lakewood park	1
land o' lakes	0
lantana	1
largo	0
las croabas	0
lauderdale lakes	1
lauderdale-by-the-sea	1
lauderhill	1
lawtey	1
lazy lake	0
lealman	1
lecanto	1
lehigh acres	1
lely	0
lely resort	1
lighthouse point	0
limestone creek	0
lochloosa	1
lochmoor waterway estates	0
longboat key	0
longwood	0
lorida	0
loughman	0
loxahatchee groves	1
luis m. cintron	0
lulu	0
lundy	0
luraville	1
lutz	0
macclenny	1
madeira beach	1
maitland	1
malabar	1
manalapan	1
manasota key	1
manatee road	0
mango	0
mangonia park	1
marathon shores	0
marco	0
margate	0
marineland	1
martel	0
masaryktown	1
mascotte	1
matlacha	1
mcalpin	0
mcgregor	0
mcintosh	0
meadow woods	0
meadowbrook terrace	1
medulla	0
melbourne	0
melbourne beach	0
melbourne village	0
merritt island	0
micanopy	1
micco	0
middleburg	1
mims	0
minneola	1
miramar	0
montbrook	1
montverde	1
moore haven	1
morriston	1
mount dora	1
mount plymouth	1
mulberry	0
myakka city	1
naples	0
naples manor	1
naples park	1
narcoossee	1
neptune beach	1
new port richey	1
new smyrna beach	1
newberry	1
newburn	0
nobleton	1
nocatee	1
nokomis	1
north brooksville	1
north deland	1
north fort myers	1
north key largo	1
north lauderdale	1
north naples	1
north palm beach	1
north port	1
north redington beach	1
north river shores	0
north sarasota	1
northdale	1
oakland park	1
ocala	0
ocean breeze park	0
ocean ridge	0
ochopee	1
ocoee	1
okahumpka	1
okeechobee	1
okeelanta	1
oldsmar	1
olga	0
orange city	0
orange heights	0
orange park	0
orangetree	0
orchid	0
orient park	0
orlando	1
orlovista	1
ormond beach	1
ormond-by-the-sea	1
osprey	0
osteen	0
oviedo	1
page park	0
pahokee	1
paisley	0
palatka	1
palm bay	0
palm beach	1
palm beach gardens	1
palm beach shores	1
palm coast	0
palm harbor	0
palm river	0
palm shores	0
palm valley	0
palmona park	1
paradise heights	0
parmalee	1
pebble creek	0
pelican bay	0
pembroke park	1
pembroke pines	1
penney farms	1
pierson	0
pine castle	0
pine hills	0
pine island center	0
pine island ridge	0
pine lakes	0
pine manor	0
pine ridge	0
pineda	1
pinellas park	1
placida	0
plant city	0
plantation	0
plantation island	0
plantation mobile home park	0
playa fortuna	0
poinciana	1
pomona park	1
pompano beach	1
pompano park	1
ponce inlet	0
ponte vedra beach	1
port charlotte	1
port labelle	1
port mayaca	1
port orange	0
port richey	1
port saint john	1
port saint lucie	1
port salerno	1
port sewall	1
progress village	0
punta gorda	0
punta rassa	0
putnam hall	1
raiford	1
reddick	1
redington beach	1
redington shores	1
rerdell	1
ridge manor	0
ridge wood heights	0
rio lajas	1
river park	0
riverview	0
riviera beach	1
rockledge	1
roosevelt gardens	1
rotonda	1
royal palm beach	1
royal palm estates	1
rubonia	1
ruskin	0
safety harbor	0
saint augustine	0
saint augustine beach	0
saint augustine shores	0
saint augustine south	0
saint catherine	0
saint james city	0
saint leo	0
saint lucie	0
saint pete beach	0
saint petersburg	0
salt springs	0
samoset	1
samsula	1
san carlos park	1
sanford	0
sanibel	1
sarasota	1
sarasota springs	1
satellite beach	0
satsuma	1
sawgrass	0
schall circle	0
scottsmoor	0
sea ranch lakes	0
sebastian	0
sebring	0
seffner	1
seminole	1
seminole manor	0
sewall's point	0
shady hills	0
sharpes	0
siesta key	1
silver springs shores	0
sky lake	0
solana	1
south apopka	1
south bay	0
south bradenton	0
south brooksville	0
south daytona	0
south gate ridge	0
south highpoint	0
south palm beach	0
south patrick shores	0
south ponte vedra beach	0
south punta gorda heights	0
south sarasota	0
